FID,MN,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
0,9,2016,22834,-73.96297460245067,40.76248707638542,1,1,0,1
1,9,2016,24836,-73.94255814386595,40.593588491255716,1,1,0,0
2,9,2016,20987,-73.98279128011019,40.733930971694726,1,0,1,0
3,9,2016,48483,-73.87252980291659,40.82904833409045,1,0,0,1
4,9,2016,61564,-73.7337729974284,40.73889928123311,1,0,0,1
5,9,2016,16789,-73.96034953579144,40.58730628519576,1,1,0,0
6,9,2016,53676,-73.85578042920359,40.86544056348469,1,0,0,1
7,9,2016,58720,-73.78649866996263,40.73197222042751,1,0,0,1
8,9,2016,49002,-73.88855699865243,40.875197312587815,1,0,0,1
9,9,2016,19197,-73.9751056640484,40.68969750861753,1,0,1,0
10,9,2016,31700,-73.85280058915815,40.684253110511285,1,0,0,1
11,9,2016,22582,-73.97304502609242,40.75269162264942,1,1,0,0
12,9,2016,54558,-73.8450799171188,40.90335873754381,1,0,0,1
13,9,2016,61103,-73.75409142374869,40.72469190540128,1,0,1,1
14,9,2016,27841,-73.9188333097533,40.7058671177244,1,0,0,1
15,9,2016,18973,-73.95281121152577,40.677844227770585,1,0,1,0
16,9,2016,18473,-73.94562475269942,40.64112599155546,1,0,0,1
17,9,2016,6980,-74.1347696132933,40.63602506978583,1,1,0,0
18,9,2016,21139,-74.00233168740094,40.75020825736691,1,0,0,1
19,9,2016,43072,-73.91677117751931,40.81569882854332,1,0,0,1
20,9,2016,20266,-74.00457474450731,40.72417313049976,1,0,0,1
21,9,2016,22922,-73.96114862931944,40.76498744543072,1,0,0,1
22,9,2016,46810,-73.87790382855567,40.745589697135955,1,1,0,0
23,9,2016,46557,-73.89061340826551,40.75314494256272,1,0,0,1
24,9,2016,3420,-74.16948145766435,40.57940007466443,1,0,0,1
25,9,2016,51026,-73.85604027477626,40.75707244640958,1,0,0,1
26,9,2016,32181,-73.87016941790395,40.70922897907258,1,1,0,0
27,9,2016,46919,-73.87261424949611,40.7531415002851,1,0,0,1
28,9,2016,17382,-73.97211243697882,40.63136815902617,1,0,0,1
29,9,2016,43961,-73.92046112263456,40.83091481998404,1,0,0,1
30,9,2016,13232,-74.00951152082204,40.61140615285025,1,1,0,0
31,9,2016,15743,-73.99136812194249,40.69701375193001,1,1,0,0
32,9,2016,17533,-73.96090977372397,40.60769310149201,1,1,0,0
33,9,2016,16049,-73.98042941153966,40.68990041413113,1,0,1,0
34,9,2016,40228,-73.73488108576788,40.6954667090736,1,1,0,0
35,9,2016,34201,-73.80787469688842,40.687098337257204,1,0,1,0
36,9,2016,26095,-73.93808043624111,40.65137598052021,1,0,0,1
37,9,2016,42489,-73.93722752215317,40.801769017573044,1,1,0,1
38,9,2016,26502,-73.91473216809352,40.64810117445802,1,0,0,1
39,9,2016,11623,-74.03084507407462,40.6166994887354,1,0,1,1
40,9,2016,27389,-73.93675794482759,40.6915561529044,1,0,0,1
41,9,2016,30248,-73.89024554413805,40.7011486060764,1,0,1,0
42,9,2016,48763,-73.89631315739977,40.86703857518866,1,0,0,1
43,9,2016,44041,-73.91861505578252,40.852844415659476,1,0,0,1
44,9,2016,50194,-73.84979941720323,40.7244015790436,1,0,0,1
45,9,2016,27532,-73.93495966380762,40.7137213881511,1,0,0,1
46,9,2016,42451,-73.94134753056382,40.81343719559606,1,0,1,0
47,9,2016,7868,-74.1106417454116,40.59325129388351,1,0,0,1
48,9,2016,57349,-73.83290142936303,40.84211832987936,1,0,0,1
49,9,2016,59836,-73.77328982022895,40.76802238769272,1,0,1,0
50,9,2016,58737,-73.78615092562383,40.739008623467605,1,0,1,0
51,9,2016,14141,-73.99328409341624,40.63390582026682,1,0,1,0
52,9,2016,41673,-73.92353865331013,40.765603497288616,1,0,0,1
