FID,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
0,2016,26259,-73.92834752578328,40.642197489631535,1,0,0,1
1,2016,40916,-73.92232152582856,40.720380627415,1,0,1,0
2,2016,58711,-73.7856849282952,40.727730192517406,1,1,0,0
3,2016,22834,-73.96297460245067,40.76248707638542,1,1,0,1
4,2016,26856,-73.92987364834694,40.66399077252589,1,0,0,1
5,2016,24836,-73.94255814386595,40.593588491255716,1,1,0,1
6,2016,4697,-74.14864554649671,40.56459762936708,1,0,0,1
7,2016,22692,-73.96864226156208,40.76159996043686,1,1,0,1
8,2016,18028,-73.97054554425758,40.64531666759665,1,1,0,1
9,2016,37592,-73.77712347016707,40.71426199412055,1,1,0,0
10,2016,8282,-74.0926041916339,40.58311992816624,1,1,0,0
11,2016,20987,-73.98279128011019,40.733930971694726,1,0,1,0
12,2016,34598,-73.8257576462845,40.70442753043356,1,0,0,1
13,2016,13989,-74.00092541773364,40.64034590177411,1,1,0,0
14,2016,12225,-74.01634261302871,40.64965573084866,1,1,0,0
15,2016,18238,-73.9610079712952,40.65008260256422,1,1,1,1
16,2016,27718,-73.92383408450345,40.68854094310175,1,1,0,0
17,2016,29123,-73.90479077533304,40.66925398728336,1,1,0,1
18,2016,48483,-73.87252980291659,40.82904833409045,1,0,0,1
19,2016,20907,-73.983535924967,40.73000772820952,1,1,1,1
20,2016,23427,-73.96945603402484,40.79783789339461,1,0,1,1
21,2016,61564,-73.7337729974284,40.73889928123311,1,1,0,1
22,2016,16789,-73.96034953579144,40.58730628519576,1,1,0,1
23,2016,58553,-73.79174472668221,40.725788850119535,1,1,0,1
24,2016,53676,-73.85578042920359,40.86544056348469,1,0,0,1
25,2016,50489,-73.84085752532944,40.720983690993215,1,0,0,1
26,2016,17498,-73.96462713626643,40.627265457545136,1,0,0,1
27,2016,26419,-73.92046701103729,40.649654183302715,1,1,0,0
28,2016,47697,-73.87356808535914,40.824419845899726,1,0,0,1
29,2016,46539,-73.891505228731,40.74723844428226,1,0,1,1
30,2016,46723,-73.88324519335967,40.75952579897311,1,1,0,1
31,2016,49940,-73.86082755063667,40.7295740711119,1,0,0,1
32,2016,58720,-73.78649866996263,40.73197222042751,1,0,0,1
33,2016,15360,-74.00698584158106,40.711737497995905,1,1,0,0
34,2016,70735,-73.82014745525572,40.5854744992901,1,0,0,1
35,2016,36888,-73.76655910702107,40.66785985030831,1,0,0,1
36,2016,20940,-73.98335962209254,40.741412165860254,1,1,0,0
37,2016,32409,-73.85504784933505,40.69135162293893,1,1,0,0
38,2016,49002,-73.88855699865243,40.875197312587815,1,0,0,1
