FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,Lon,Lat,STREET1,STREET2
0,1,0,1,1,0,0,1,2016,49219,-73.87098434511236,40.85439682447505,BRONX RIVER PARKWAY EXIT 6 NB,BOSTON ROAD
1,1,1,1,1,0,0,1,2016,27203,-73.9109260086804,40.67634444502524,ATLANTIC AVENUE,ROCKAWAY AVENUE
2,1,2,1,1,0,0,1,2016,44093,-73.9150877378021,40.83922537882663,EAST 170 STREET,WYTHE PLACE
3,1,3,1,1,0,0,1,2016,23418,-73.97036786154344,40.79405173704723,AMSTERDAM AVENUE,WEST 96 STREET
4,1,4,1,1,0,0,1,2016,12731,-74.00154542206147,40.60144199409345,20 AVENUE,BATH AVENUE
5,1,5,1,1,0,0,1,2016,23636,-73.95093257398602,40.770708662309566,YORK AVENUE,EAST 78 STREET
6,1,6,1,0,0,1,1,2016,5215,-74.1271436210235,40.567578005962794,AMBER STREET,AMBOY ROAD
7,1,7,1,1,0,0,1,2016,43732,-73.93088430130851,40.848118938210504,AMSTERDAM AVENUE,WEST 181 STREET
8,1,8,1,0,0,1,1,2016,2475,-74.16813119927596,40.52664178734723,HYLAN BOULEVARD,ALLEN PLACE
9,1,9,1,0,0,1,1,2016,54303,-73.85588386613775,40.88386171533501,BRONXWOOD AVENUE,EAST 222 STREET
10,1,10,1,0,1,0,1,2016,16715,-73.96210267151619,40.59820611350555,EAST 9 STREET,AVENUE U
11,1,11,1,0,1,0,1,2016,53646,-73.85527807945664,40.8538078912707,TOMLINSON AVENUE,NEILL AVENUE
12,1,12,1,1,0,0,1,2016,51702,-73.84580796266012,40.78419130931912,COLLEGE POINT BOULEVARD,15 AVENUE
13,1,13,1,1,0,0,1,2016,20760,-73.98739393126188,40.71830352303298,DELANCEY STREET,NORFOLK STREET
14,1,14,1,1,0,0,2,2016,39324,-73.73561184570342,40.66528061918269,SOUTH CONDUIT AVENUE,243 STREET
15,1,15,1,0,0,1,2,2016,43658,-73.92874743499215,40.83271667040599,WEST 164 STREET,NELSON AVENUE
16,1,16,1,0,0,1,2,2016,20084,-74.00823293221266,40.72196588580011,LAIGHT STREET,HOLLAND TUNNEL EXIT
17,1,17,1,1,0,0,2,2016,47861,-73.90268810088492,40.84458147147322,CROSS BRONX EXPRESSWAY,WEBSTER AVENUE
18,1,18,1,0,0,1,2,2016,58296,-73.82848243312677,40.887934298644616,LIGHT STREET,PROVOST AVENUE
19,1,19,1,1,0,0,2,2016,13443,-73.99771359006431,40.623680269105165,65 STREET,NEW UTRECHT AVENUE
20,1,20,1,1,0,0,2,2016,21508,-73.98202464471183,40.74904953979101,EAST 36 STREET,MADISON AVENUE
21,1,21,1,1,0,0,2,2016,26822,-73.93308084254804,40.67756328121886,ATLANTIC AVENUE,SCHENECTADY AVENUE
22,1,22,1,1,0,0,2,2016,43356,-73.94113608547913,40.83917889456523,BROADWAY,WEST 165 STREET
23,1,23,1,1,0,0,2,2016,21212,-74.00058422209612,40.757692875513136,11 AVENUE,WEST 37 STREET
24,1,24,1,0,0,1,2,2016,49138,-73.87922941892535,40.87367184768259,EAST 204 STREET,EAST 205 STREET
25,1,25,1,1,0,0,2,2016,52751,-73.85585892248224,40.83589739454987,STARLING AVENUE,UNIONPORT ROAD
26,1,26,1,0,1,0,2,2016,5043,-74.13704258165207,40.5729084519232,ANDREWS AVENUE,RICHMOND ROAD
27,1,27,1,1,0,0,2,2016,33760,-73.82897168886133,40.68032654661246,111 STREET,109 AVENUE
28,1,28,1,1,0,0,2,2016,26515,-73.91530757813142,40.654222176040136,EAST 95 STREET,LINDEN BOULEVARD
29,1,29,1,1,0,0,2,2016,14995,-73.98630429176369,40.66917266555442,5 AVENUE,9 STREET
30,1,30,1,0,0,1,2,2016,30291,-73.88681137223944,40.69666794871921,CYPRESS HILLS STREET,80 AVENUE
31,1,31,1,1,0,0,2,2016,56610,-73.80862805415855,40.78372264068354,17 AVENUE,CLINTONVILLE STREET
32,1,32,1,1,0,0,3,2016,30178,-73.89363337396347,40.70228614434206,71 AVENUE,CYPRESS HILLS STREET
33,1,33,1,1,0,0,3,2016,51022,-73.85478630727796,40.754707449202186,113 STREET,37 AVENUE
34,1,34,1,1,0,0,3,2016,19801,-73.95111565708359,40.710956619426234,GRAND STREET,UNION AVENUE
35,1,35,1,0,0,1,3,2016,53298,-73.83775409661317,40.84288590978074,WESTCHESTER AVENUE,HUTCHINSON RIVER PARKWAY
36,1,36,1,1,0,0,3,2016,24259,-73.9453590633995,40.79928686213835,EAST 115 STREET,MADISON AVENUE
37,1,37,1,1,0,0,3,2016,43875,-73.92399049466574,40.83505229770178,SHAKESPEARE AVENUE,JEROME AVENUE
38,1,38,1,1,0,0,3,2016,23610,-73.95465609889426,40.786552372226495,EAST 95 STREET,MADISON AVENUE
39,1,39,1,0,0,1,3,2016,53456,-73.8635197110564,40.86550797703419,ALLERTON AVENUE,BARNES AVENUE
40,1,40,1,1,0,0,3,2016,12988,-73.98656942114779,40.59852396860646,25 AVENUE,85 STREET
41,1,41,1,1,0,0,3,2016,23785,-73.94659059139443,40.780691973879094,1 AVENUE,EAST 92 STREET
42,1,42,1,0,0,1,4,2016,60223,-73.7908490680233,40.789061855071914,THROGS NECK BRDG NB EN TOTTEN AV,CROSS ISLAND PARKWAY ET 33 NB
43,1,43,1,1,0,0,4,2016,55442,-73.83334977385387,40.76408378723324,35 AVENUE,PRINCE STREET
44,1,44,1,1,0,0,4,2016,4385,-74.14710312159505,40.541012399292256,WIMAN AVENUE,HYLAN BOULEVARD
45,1,45,1,1,0,0,4,2016,27217,-73.91388312082371,40.67993564494691,MAC DOUGAL STREET,THOMAS S BOYLAND STREET
46,1,46,1,0,1,0,4,2016,18870,-73.95956770227025,40.686682555679965,LEXINGTON AVENUE,CLASSON AVENUE
47,1,47,1,1,0,0,4,2016,32266,-73.8623683417439,40.69595014298265,FOREST PARKWAY,PARK LANE SOUTH
48,1,48,1,1,0,0,4,2016,41621,-73.92847136522546,40.7690601703564,21 STREET,30 ROAD
49,1,49,1,0,1,0,4,2016,49124,-73.8795451678872,40.86771204748077,MOSHOLU PARKWAY,SOUTHERN BOULEVARD
50,1,50,1,0,0,1,4,2016,49295,-73.87159658326753,40.87864613591591,EAST GUN HILL ROAD,WEBSTER AVENUE
51,1,51,1,0,0,1,4,2016,30552,-73.87380342286191,40.707603745510575,COOPER AVENUE,78 STREET
52,1,52,1,1,0,0,4,2016,13858,-74.00928151104259,40.642656341423965,6 AVENUE,52 STREET
53,1,53,1,0,1,0,4,2016,18559,-73.97618051311018,40.67806432058058,STERLING PLACE,6 AVENUE
54,1,54,1,1,0,0,5,2016,66755,-74.12172623959053,40.574906984502135,RICHMOND ROAD,AMBOY ROAD
55,1,55,1,0,0,1,5,2016,16538,-73.96759867796442,40.58037847069395,OCEAN PARKWAY,NEPTUNE AVENUE
56,1,56,1,0,1,0,5,2016,17465,-73.96137268382009,40.610098874475945,AVENUE P,EAST 12 STREET
57,1,57,1,0,0,1,5,2016,57640,-73.82036474352265,40.84413351427795,STADIUM AVENUE,GRISWOLD AVENUE
58,1,58,1,0,0,1,5,2016,323,-74.23489563752302,40.50618808452597,HYLAN BOULEVARD,JOLINE AVENUE
59,1,59,1,1,0,0,5,2016,42496,-73.93692774639942,40.80504640858357,EAST 126 STREET,LEXINGTON AVENUE
60,1,60,1,1,0,0,5,2016,28752,-73.89939428980409,40.63882373924664,AVENUE K,EAST 94 STREET
61,1,61,1,1,0,0,5,2016,30162,-73.89423421585902,40.70082738157153,61 STREET,MYRTLE AVENUE
62,1,62,1,1,0,0,5,2016,21549,-73.98003575724253,40.765521033484475,WEST 57 STREET,7 AVENUE
63,1,63,2,0,0,2,5,2016,28703,-73.90143322565592,40.64570373047121,GLENWOOD ROAD,EAST 98 STREET
64,1,64,1,1,0,0,5,2016,38031,-73.7552738466246,40.60533443866788,BEACH CHANNEL DRIVE,MOTT AVENUE
65,1,65,1,0,1,0,5,2016,28958,-73.88668904863502,40.6562051027965,VERMONT STREET,WORTMAN AVENUE
66,1,66,1,0,0,1,5,2016,46844,-73.87666752105062,40.75461047699515,91 STREET,34 AVENUE
67,1,67,1,1,0,0,5,2016,22932,-73.96110996994804,40.76906440772093,EAST 71 STREET,3 AVENUE
68,1,68,1,1,0,0,5,2016,34174,-73.8098122854548,40.67979311155375,131 STREET,115 AVENUE
69,1,69,1,0,0,1,5,2016,22528,-73.9781393171324,40.76302401451421,WEST 55 STREET,AVENUE OF THE AMERICAS
70,1,70,1,1,0,0,5,2016,43866,-73.92327280272231,40.83034477556739,GERARD AVENUE,EAST 164 STREET
71,1,71,1,0,1,0,6,2016,19991,-74.013048032795,40.71645370913779,WARREN STREET,WEST STREET
72,1,72,1,0,1,0,6,2016,57324,-73.83223971690927,40.8352700768663,EAST TREMONT AVENUE,PURITAN AVENUE
73,1,73,1,1,0,0,6,2016,8621,-74.11579141443535,40.60686116503006,WESTWOOD AVENUE,FINE BOULEVARD
74,1,74,1,0,0,1,6,2016,40685,-73.93742031662393,40.7337620411307,REVIEW AVENUE,37 STREET
75,1,75,1,0,0,1,6,2016,54241,-73.85705654056802,40.88174522680421,BRONXWOOD AVENUE,EAST 219 STREET
76,1,76,1,1,0,0,6,2016,21731,-73.98184860712118,40.77958448867741,BROADWAY,WEST 73 STREET
77,1,77,1,1,0,0,6,2016,55656,-73.82066667670642,40.764990814205014,NORTHERN BOULEVARD,146 STREET
78,1,78,1,1,0,0,6,2016,49877,-73.86447086325006,40.734007274957975,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD
79,1,79,1,0,1,0,6,2016,27573,-73.9288335499365,40.6971854589052,HART STREET,EVERGREEN AVENUE
80,1,80,1,1,0,0,6,2016,53421,-73.86737516941528,40.87763441795618,EAST GUN HILL ROAD,WHITE PLAINS ROAD
81,1,81,1,0,0,1,6,2016,29342,-73.89592090134504,40.66447126236813,LIVONIA AVENUE,GEORGIA AVENUE
82,1,82,1,1,0,0,6,2016,23529,-73.95889591139267,40.77496016242617,LEXINGTON AVENUE,EAST 79 STREET
83,1,83,1,0,0,1,6,2016,38540,-73.74160077834438,40.63879109675079,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
84,1,84,1,1,0,0,6,2016,21554,-73.98211703751431,40.76974230614385,BROADWAY,WEST 61 STREET
85,1,85,1,1,0,0,6,2016,21734,-73.98131091655686,40.781025384983046,BROADWAY,WEST 75 STREET
86,1,86,3,0,0,3,6,2016,3394,-74.17822457288977,40.59982806098101,TRAVIS AVENUE,VICTORY BOULEVARD
87,1,87,1,1,0,0,6,2016,20853,-73.98798240081075,40.740872654677915,EAST 23 STREET,MADISON AVENUE
88,1,88,1,1,0,0,6,2016,21381,-73.98961683116211,40.747276422184996,WEST 30 STREET,AVENUE OF THE AMERICAS
89,1,89,1,1,0,0,6,2016,26509,-73.91757588559635,40.654314172841566,LINDEN BOULEVARD,CHURCH AVENUE
90,1,90,1,1,0,0,6,2016,21346,-73.99163271342128,40.75470680412291,8 AVENUE,WEST 38 STREET
91,1,91,1,1,0,0,6,2016,15623,-73.99436092825945,40.690239479505095,ATLANTIC AVENUE,CLINTON STREET
92,1,92,1,1,0,0,12,2016,133,-74.24827762836206,40.510517096801074,MAIN STREET,CRAIG AVENUE
93,1,93,1,0,0,1,12,2016,54867,-73.82064861322829,40.71652131379063,GRAND CENTRAL PARKWAY ET 14 EB,UNION TURNPIKE
94,1,94,1,1,0,0,12,2016,21281,-73.9968524495693,40.757732709369655,WEST 39 STREET,10 AVENUE
95,1,95,1,1,0,0,12,2016,41416,-73.93679091706896,40.75988288056643,21 STREET,36 AVENUE
96,1,96,1,1,0,0,12,2016,28897,-73.89000589240948,40.651148696267114,FLATLANDS AVENUE,LOUISIANA AVENUE
97,1,97,1,0,1,0,12,2016,21327,-73.99464571912264,40.769981104243705,WEST 55 STREET,12 AVENUE
98,1,98,1,1,0,0,12,2016,29309,-73.89836229275342,40.67765827633678,SHEFFIELD AVENUE,JAMAICA AVENUE
99,1,99,1,1,0,0,12,2016,19748,-73.95248890965635,40.69500377121111,NOSTRAND AVENUE,MYRTLE AVENUE
100,1,100,1,1,0,0,12,2016,48135,-73.89045917318654,40.848932530231956,HUGHES AVENUE,EAST 180 STREET
101,1,101,1,1,0,0,12,2016,47622,-73.880330527675,40.82130151013586,STORY AVENUE,COLGATE AVENUE
102,1,102,1,0,0,1,12,2016,32533,-73.8518915599705,40.7106273489982,METROPOLITAN AVENUE,70 DRIVE
103,1,103,1,0,0,1,12,2016,14181,-73.98907691525535,40.64139566963394,40 STREET,12 AVENUE
104,1,104,1,1,0,0,12,2016,13521,-73.99655764112,40.6276409341403,60 STREET,NEW UTRECHT AVENUE
105,1,105,1,1,0,0,12,2016,19414,-73.96841310394943,40.70775413920705,KENT AVENUE,SOUTH 11 STREET
106,1,106,1,0,0,1,7,2016,26907,-73.92592201490987,40.665715034898476,EAST NEW YORK AVENUE,BUFFALO AVENUE
107,1,107,1,0,1,0,7,2016,25199,-73.92653304996894,40.59410431428314,GERRITSEN AVENUE,DEVON AVENUE
108,1,108,1,1,0,0,7,2016,28123,-73.895099884797,40.56254265168269,MARSHALL ROAD,CENTER ROAD
109,1,109,1,1,0,0,7,2016,34279,-73.80433685651359,40.681349361697556,VAN WYCK EXPRESSWAY SR EAST,115 AVENUE
110,1,110,1,0,0,1,7,2016,53473,-73.86517770356079,40.87233111767858,HOLLAND AVENUE,SOUTH OAK DRIVE
111,1,111,1,1,0,0,7,2016,51956,-73.86761325625557,40.82481759428341,ROSEDALE AVENUE,BRUCKNER BOULEVARD
112,1,112,1,1,0,0,7,2016,13404,-74.0008419975748,40.61261629427888,79 STREET,NEW UTRECHT AVENUE
113,1,113,1,0,0,1,7,2016,34105,-73.81075876658824,40.67952515642953,130 STREET,115 AVENUE
114,1,114,1,1,0,0,7,2016,21235,-73.9985803448831,40.7642799507938,WEST 46 STREET,12 AVENUE
115,1,115,1,0,1,0,7,2016,46674,-73.8850944203574,40.74397395756953,WOODSIDE AVENUE,BROADWAY
116,1,116,1,1,0,0,7,2016,22813,-73.96480079536157,40.75998213888108,2 AVENUE,EAST 58 STREET
117,1,117,1,1,0,0,7,2016,44087,-73.9176098851155,40.84127484124394,MACOMBS ROAD,PLAZA DRIVE
118,1,118,1,1,0,0,7,2016,47254,-73.90298795469131,40.80936430080019,EAST 149 STREET,BRUCKNER BOULEVARD
119,1,119,1,1,0,0,7,2016,22098,-73.95713104592984,40.71838770601306,BEDFORD AVENUE,NORTH 8 STREET
120,1,120,1,0,1,0,7,2016,19948,-73.94559624715764,40.71148150060812,GRAND STREET,MANHATTAN AVENUE
121,1,121,1,1,0,0,8,2016,47579,-73.8827603038448,40.823248548006035,BRUCKNER EXPRESSWAY EXIT 51 WB,BRUCKNER BOULEVARD
122,1,122,1,1,0,0,8,2016,41663,-73.92458828520057,40.761600348122236,BROADWAY,32 STREET
123,1,123,1,1,0,0,8,2016,48414,-73.87640134543943,40.82897729408856,WESTCHESTER AVENUE,MANOR AVENUE
124,1,124,1,1,0,0,8,2016,23360,-73.97461559635518,40.79332480455422,WEST 93 STREET,WEST END AVENUE
125,1,125,1,0,0,1,8,2016,29376,-73.8962177369875,40.67735818320405,NEW JERSEY AVENUE,FULTON STREET
126,1,126,1,0,0,1,8,2016,52612,-73.86176166549505,40.84151272026238,EAST TREMONT AVENUE,DOGWOOD DRIVE
127,1,127,2,2,0,0,8,2016,29769,-73.87536132230375,40.682748262463754,FULTON STREET,CHESTNUT STREET
128,1,128,1,1,0,0,8,2016,52535,-73.863923028251,40.84968445798044,BARNES AVENUE,BRONXDALE AVENUE
129,1,129,1,1,0,0,8,2016,8414,-74.08887113173583,40.59017767865516,ATLANTIC AVENUE,HYLAN BOULEVARD
130,1,130,1,1,0,0,8,2016,9171,-74.09010830306634,40.60940338921643,NARROWS ROAD NORTH,RICHMOND ROAD
131,1,131,1,1,0,0,8,2016,14150,-73.99336253682708,40.64124779929509,43 STREET,FT HAMILTON PARKWAY
132,1,132,1,1,0,0,8,2016,48409,-73.87765492017913,40.826151703467836,WATSON AVENUE,BOYNTON AVENUE
